Unnamed: 0,GSM7465980,GSM7466027,GSM7466030,GSM7466008,GSM7466062,GSM7465978,GSM7466031,GSM7466033,GSM7465983,GSM7466002,GSM7465990
POLDIP2,0.490196601,0.540284647,0.552370107,0.448121999,0.463013574,0.471932566,0.473777428,0.470803708,0.416447349,0.398384572,0.46487164
PLXND1,0.425912446,0.484754413,0.415695799,0.385466247,0.48033404,0.394277929,0.417422053,0.328050263,0.428519473,0.43379039,0.339812368
AK2,0.889397608,0.848375399,0.884918159,0.883980293,0.917928843,0.848791266,0.855788141,0.902646627,0.847249956,0.841161609,0.862701296
CD38,0.281199655,0.565122102,0.334057012,0.240173207,0.587293986,0.27148465,0.586738002,0.292138287,0.169199258,0.121769551,0.321683403
FKBP4,0.671174528,0.652733014,0.684205752,0.672095753,0.650039663,0.668741232,0.569240249,0.646926923,0.720791399,0.638959927,0.72554564
RBM6,0.539559695,0.527569679,0.592957679,0.685213207,0.485713115,0.67351948,0.639028627,0.549294755,0.800853612,0.681100917,0.6210777
CAMKK1,0.166751823,0.147435689,0.217165005,0.180414759,0.227607635,0.167609296,0.105274352,0.134728191,0.202566937,0.144890963,0.078097039
RECQL,0.635213767,0.671034512,0.649016471,0.645827677,0.650488582,0.647016436,0.695645975,0.726905812,0.491040105,0.604911498,0.62850045
HSPB6,0.712345293,0.772079437,0.770702014,0.688900932,0.428588396,0.609357305,0.786769285,0.452574472,0.501821262,0.891401731,0.367241152
NDUFAB1,0.939489046,0.94517523,0.947324096,0.932079333,0.915772893,0.930133662,0.922742773,0.924583787,0.932704601,0.915589691,0.936754001
PDK4,0.516215973,0.685745108,0.643700782,0.787648432,0.641694621,0.437779857,0.541410787,0.520586927,0.373621479,0.870741879,0.703281064
SLC22A16,0.254907157,0.04267767,0.02058098,0.094754495,0.161758668,0.132740364,0.080275683,0.239214355,0.086776479,0.338766703,0.149770424
ZMYND10,0.440916327,0.080948881,0.169584032,0.344115847,0.005142951,0.063585921,0.201453756,0.354696742,0.282127933,0.275740592,0.207803604
ABCB5,0.018880689,0.064224219,0.075819993,0.046189714,0.066840799,0.011321679,0.066688499,0.097599202,0.008527822,0.039391244,0.007181826
ARX,0.045013161,0.194818729,0.139117463,0.015515937,0.107465616,0.070817413,0.130099339,0.102134856,0.091983052,0.102484729,0.15898586
SLC25A13,0.691463121,0.719049455,0.708145561,0.692216192,0.712615089,0.707011003,0.716545813,0.768093373,0.734268986,0.617153215,0.687008285
ST7,0.560029833,0.535522795,0.541921253,0.563896094,0.516237647,0.562170523,0.518568564,0.554043965,0.474250624,0.519028858,0.557520432
CDC27,0.136139495,0.165795029,0.102452863,0.072383087,0.029449792,0.141728622,0.226153693,0.19134724,0.116851442,0.22690355,0.040447637
SLC4A1,0.011610823,0.114132532,0.154993406,0.186189184,0.068032574,0.062821559,0.132551589,0.088084894,0.202566937,0.058224721,0.120893645
CALCR,0.201058299,0.054977193,0.079687576,0.022008507,0.05931827,0.051683791,0.140391239,0.126001231,0.049862993,0.086301111,0.101063323
HCCS,0.494739055,0.547349532,0.538750913,0.482300907,0.544354566,0.530740093,0.563890586,0.562741295,0.495680148,0.542838421,0.536238901
DVL2,0.463775442,0.391126395,0.501416562,0.457079064,0.372287947,0.494048257,0.385056413,0.449864438,0.551393194,0.504059207,0.530673301
PRSS22,0.08362736,0.168084139,0.25450648,0.113752714,0.348352883,0.085712351,0.023198688,0.49026118,0.326697002,0.289286081,0.024293605
UPF1,0.599914102,0.512635647,0.538091479,0.565871317,0.535794944,0.507736003,0.473961103,0.436713602,0.682091311,0.5991343,0.506743026
SKAP2,0.446625373,0.527962521,0.480526512,0.439048299,0.578716254,0.474135402,0.549181085,0.559899655,0.37521678,0.462039736,0.401047917
SLC25A5,0.985289273,0.974677061,0.980365228,0.97258147,0.981204675,0.979147456,0.968136067,0.978617872,0.967971014,0.972760152,0.979887852
HOXA11,0.693479162,0.396826296,0.488014561,0.571893901,0.286090933,0.588177099,0.316011274,0.282725399,0.637226635,0.489554448,0.542983025
POLR2J,0.36334866,0.400711427,0.328696871,0.24712696,0.362688786,0.377215624,0.391099636,0.284436876,0.389741048,0.275436161,0.374476343
DHX33,0.556359395,0.4428317,0.566405342,0.499903871,0.449757942,0.559376917,0.498120525,0.539406361,0.647226766,0.573795787,0.587315806
MEOX1,0.23748756,0.286170574,0.395299768,0.25908081,0.412809564,0.259049589,0.349658991,0.344247109,0.254013023,0.428984861,0.311154187
THSD7A,0.172045944,0.164493447,0.040490938,0.244455366,0.153357743,0.067027438,0.176928951,0.316254971,0.203287929,0.117863843,0.144075189
LIG3,0.434443331,0.493626327,0.457221379,0.503761079,0.517424207,0.42692059,0.464468358,0.450570418,0.483290075,0.450566573,0.432442814
RPAP3,0.534246242,0.528290022,0.530150761,0.527409189,0.430216175,0.600305338,0.507541002,0.580463938,0.43349484,0.492321327,0.616017421
ACSM3,0.610876154,0.763935533,0.711036796,0.879521939,0.622989321,0.557881132,0.884626445,0.403477539,0.536907209,0.547065281,0.543787492
CIAPIN1,0.558872686,0.557176474,0.562742584,0.450069168,0.506024041,0.543928285,0.526271251,0.49787414,0.495680148,0.460043801,0.524558961
SPPL2B,0.423111907,0.393670101,0.39000047,0.370807715,0.2740358,0.307746452,0.319189103,0.276879747,0.409165464,0.337983368,0.367035633
COPZ2,0.464077865,0.390478804,0.488449297,0.421188769,0.296443465,0.38205385,0.39013306,0.30224407,0.485675303,0.532733189,0.335363855
PRKAR2B,0.003161034,0.145672793,0.199289671,0.090321117,0.106453499,0.05332127,0.188764605,0.097560472,0.110031272,0.082286478,0.017103541
MSL3,0.647449715,0.56029283,0.555993741,0.573955482,0.574453134,0.540459563,0.543882456,0.584129689,0.60503031,0.541634838,0.556906643
CREBBP,0.770637052,0.719287301,0.768137774,0.811350741,0.731314468,0.796632557,0.75429927,0.76991849,0.782227391,0.826529819,0.840559055
MPO,0.085001078,0.177340192,0.171325952,0.216573218,0.077083671,0.162278267,0.19899598,0.065313816,0.160856477,0.138887538,0.154256428
PON1,0.175649681,0.12844374,0.095128031,0.191981367,0.040759011,0.109452104,0.112687269,0.133043493,0.060159248,0.228380356,0.25405937
WDR54,0.86116134,0.765261098,0.830706239,0.769066956,0.809925235,0.799702626,0.790182303,0.821765179,0.825753874,0.806916892,0.818063554
CROT,0.432994631,0.283232727,0.370058007,0.358585799,0.305342808,0.422270996,0.340962042,0.311112645,0.452536684,0.438394887,0.429686776
ABCB4,0.204365105,0.296827855,0.087551738,0.161366975,0.236973036,0.118839999,0.295858409,0.198577163,0.182038654,0.080567405,0.09175691
RHBDD2,0.874423732,0.815028697,0.835885776,0.732617078,0.890251899,0.82480896,0.82206786,0.810986139,0.886707362,0.820677843,0.768785928
SOX8,0.32387911,0.323275733,0.311463995,0.388666769,0.374927512,0.385653489,0.162760645,0.496118977,0.522605142,0.338130147,0.367755071
IBTK,0.701191872,0.750688148,0.759255331,0.778404711,0.753595903,0.705678914,0.767137557,0.757777797,0.763407944,0.711826052,0.727465625
ZNF195,0.523319778,0.579966355,0.49019007,0.51891056,0.44276208,0.656251668,0.565053339,0.541323545,0.523327512,0.475922143,0.633843187
MYCBP2,0.601981875,0.523585043,0.578033495,0.590757294,0.414560174,0.596693121,0.557151798,0.565185724,0.608254295,0.692126465,0.572654536
FBXL3,0.48749664,0.560632101,0.61854914,0.681154504,0.569376637,0.585239575,0.545824481,0.675962477,0.389029628,0.592829615,0.670251467
ITGAL,0.266674063,0.388863041,0.388870575,0.216573218,0.341322803,0.315356518,0.442113416,0.448044089,0.375749634,0.337347971,0.323889353
PDK2,0.299550139,0.25992378,0.368189255,0.347883618,0.264795506,0.384857598,0.294961814,0.246999121,0.342431664,0.375588571,0.395127775
ITGA3,0.408202711,0.656381238,0.648202986,0.337056142,0.779213458,0.535220717,0.606900743,0.866795332,0.528599247,0.509639935,0.415539248
ZFX,0.439511714,0.433285014,0.434116285,0.422148252,0.390180425,0.492667421,0.486439367,0.52635817,0.397177649,0.50533814,0.513369562
LAMP2,0.932186852,0.919274105,0.93498666,0.929600976,0.924442811,0.877647824,0.92924392,0.905533646,0.800343778,0.891401731,0.869353971
ITGA2B,0.144357385,0.160671453,0.299808335,0.205114668,0.325668651,0.248486592,0.233948506,0.25404909,0.364095614,0.211465369,0.447060851
ASB4,0.137773031,0.076107849,0.172673116,0.118451839,0.191786343,0.225392316,0.046829449,0.102134856,0.192827767,0.030170156,0.105785507
GDE1,0.578602962,0.493500731,0.484603299,0.462592602,0.501933743,0.541525342,0.467739392,0.514604938,0.500602043,0.524055588,0.501759428
CRLF1,0.26516567,0.277704853,0.328456853,0.300905639,0.296663018,0.189009682,0.356233619,0.573858554,0.263425327,0.281643623,0.154965401
OSBPL7,0.543164027,0.377524902,0.495184722,0.477125436,0.366543512,0.541658612,0.392660825,0.390873901,0.6005327,0.525103056,0.536970836
TMEM98,0.945969577,0.91583475,0.872890532,0.90424669,0.883641266,0.95463109,0.928741371,0.852090709,0.961656154,0.926408793,0.961926938
YBX2,0.198120455,0.291338514,0.196036419,0.221745251,0.158285457,0.18486541,0.136136954,0.070414021,0.260602062,0.29115688,0.256711766
KRT33A,0.107758915,0.086335531,0.122202779,0.124871825,0.112998115,0.122182966,0.09342026,0.092026694,0.103493831,0.046223659,0.069736424
MAP3K14,0.317736643,0.361065239,0.337416847,0.338030896,0.262198366,0.385547262,0.201816672,0.350841952,0.349789139,0.382366187,0.402031155
ABCC8,0.263961448,0.073344188,0.441494887,0.362202438,0.179852042,0.37575141,0.003876672,0.089939321,0.220608971,0.738218458,0.23928186
CACNG3,0.108374455,0.061164608,0.220383106,0.009161232,0.056139227,0.170575833,0.222828703,0.137786994,0.081010556,0.122388735,0.162340706
TMEM132A,0.716459918,0.62870616,0.387743552,0.457975285,0.790885798,0.529361375,0.605188621,0.829486943,0.679031221,0.560478493,0.56864207
AP2B1,0.531666778,0.520331358,0.609540544,0.536050769,0.513540502,0.549562659,0.461092981,0.663827486,0.603172321,0.557345565,0.475445746
TAC1,0.262415866,0.267436165,0.176005317,0.14370886,0.378832261,0.501684715,0.098571919,0.496620037,0.216343766,0.162987962,0.312028115
ZNF263,0.666615314,0.663646821,0.683594535,0.745448964,0.666017458,0.694546625,0.64797617,0.702435154,0.752285777,0.710170975,0.752721661
CX3CL1,0.715825649,0.405725846,0.409213091,0.576711131,0.569792836,0.73064772,0.629279611,0.68999503,0.554111727,0.615560468,0.563475622
SPATA20,0.76606781,0.631033308,0.685276422,0.700124082,0.628482454,0.707246245,0.7655552,0.482901349,0.807674,0.745826972,0.69710166
CACNA1G,0.520837076,0.293964258,0.40114213,0.538488845,0.555794816,0.681145138,0.348911267,0.48283975,0.625410344,0.482990406,0.557315797
TNFRSF12A,0.580759248,0.568196391,0.356011353,0.52636651,0.879887552,0.558424819,0.6199114,0.908818123,0.38105268,0.456430863,0.461545378
DLX6,0.317079612,0.233564207,0.295966,0.426171178,0.217205731,0.319513263,0.308057625,0.342377694,0.374152639,0.216941304,0.445355976
MAP3K9,0.239192638,0.154772098,0.041513167,0.055617412,0.279611766,0.155423583,0.045807797,0.284612743,0.197529909,0.147546557,0.220995692
RALA,0.852029799,0.895397215,0.869406486,0.907404012,0.920390286,0.866413782,0.916022134,0.915333716,0.873580263,0.875792064,0.870910205
BAIAP2L1,0.382595469,0.693842724,0.604003132,0.522856911,0.738909075,0.384327844,0.666955391,0.701036494,0.372349213,0.347807445,0.375204625
ETV1,0.08584086,0.05722934,0.025656582,0.093211793,0.051015195,0.208908659,0.073666144,0.00253495,0.079760117,0.049286396,0.02750058
AGK,0.58564674,0.555959597,0.597305509,0.607420524,0.576477723,0.636394657,0.560889261,0.571392493,0.521162053,0.518443054,0.559978758
ALDH3B1,0.566933108,0.372549957,0.540665257,0.44936035,0.415296243,0.369725841,0.531462824,0.455531093,0.41610411,0.549153157,0.220057959
TTC22,0.187943364,0.163310756,0.13700762,0.092479264,0.045024012,0.264878719,0.207717089,0.01363665,0.099524774,0.097874566,0.127559684
PHTF2,0.279833969,0.330170292,0.231667551,0.294955998,0.251844715,0.335858924,0.353866023,0.302606917,0.243002938,0.314002377,0.314149508
CCL26,0.259548034,0.213742697,0.153814376,0.205517997,0.23464665,0.219441076,0.303672688,0.256199715,0.136797326,0.189266566,0.209825013
FARP2,0.378945946,0.373175602,0.34252544,0.297068349,0.319014451,0.291816888,0.353564548,0.252828262,0.358231617,0.342209306,0.298750509
USH1C,0.183675756,0.146612904,0.050425527,0.058436835,0.040759011,0.058659086,0.233079679,0.149147842,0.063247826,0.076330947,0.124439005
GGCT,0.779413997,0.692835912,0.708457656,0.844124954,0.671039028,0.711806867,0.59454774,0.693609804,0.767772492,0.637038776,0.827757231
DBF4,0.289547291,0.327589186,0.324347261,0.253713118,0.340265569,0.404729289,0.212138497,0.25093689,0.14465837,0.214179859,0.364266674
TBXA2R,0.126980626,0.105797507,0.118746511,0.031350421,0.013373761,0.141728622,0.075575173,0.112586321,0.170023468,0.047962736,0.090253412
IFRD1,0.4900708,0.652510018,0.5383552,0.638681748,0.750396497,0.521527453,0.738932645,0.779005312,0.591588346,0.661983746,0.596635627
LGALS14,0.091610896,0.185284549,0.14796551,0.224645321,0.194658468,0.304049752,0.242095733,0.142224598,0.21237824,0.076330947,0.111369006
COX10,0.667298124,0.653179114,0.63133536,0.629830248,0.621821097,0.673823551,0.681587758,0.655014161,0.660839984,0.617733005,0.674814319
GTF2IRD1,0.373642962,0.413524242,0.41032576,0.368580596,0.484888115,0.396060947,0.443343308,0.566478788,0.454288134,0.446465182,0.401266297
PAF1,0.795141427,0.721509367,0.753704203,0.721754649,0.80508936,0.75376363,0.743080384,0.681661777,0.805879963,0.746477166,0.765803097
VPS41,0.806012436,0.892553845,0.881197397,0.802508566,0.798992909,0.790603882,0.872218412,0.797861308,0.825493311,0.815808485,0.7965473
ELAC2,0.538427736,0.507314998,0.477882342,0.418599971,0.408598541,0.410357483,0.443929741,0.410906118,0.531115879,0.477900354,0.392544115
SCIN,0.308612126,0.514504381,0.492183619,0.244622101,0.546590601,0.287381272,0.680666727,0.258398578,0.281640128,0.438394887,0.070387656
ARSD,0.897789328,0.881652752,0.911950905,0.883049324,0.851183036,0.851646474,0.862363237,0.800592255,0.906536977,0.855030474,0.829865593
PNPLA4,0.41193643,0.295572722,0.384323573,0.356711782,0.174418142,0.418894014,0.344845676,0.26260145,0.378904045,0.312333083,0.431695188
MYH13,0.112918155,0.130080964,0.188348935,0.040237267,0.121429189,0.187334992,0.202260345,0.066348445,0.107965313,0.060311565,0.095499338
ADIPOR2,0.608573413,0.649467402,0.677272171,0.80071533,0.655288165,0.608284218,0.708560916,0.694457566,0.739007688,0.70318465,0.632670101
CDKL3,0.391739463,0.356763271,0.370213979,0.418880697,0.269550188,0.44754215,0.32550611,0.357922315,0.275821271,0.384985212,0.439508935
UPP2,0.026324829,0.085411572,0.237753834,0.180414759,0.11576774,0.30518837,0.140938201,0.003942509,0.142409547,0.089516084,0.12389328
PRSS21,0.299413925,0.089648218,0.287656831,0.121912935,0.175250541,0.199008674,0.151549265,0.142224598,0.286632823,0.320553384,0.113387738
MARK4,0.273001954,0.182698899,0.321831055,0.119890268,0.372287947,0.284557107,0.256870262,0.363560363,0.221382781,0.2078281,0.237212647
PROM1,0.789027074,0.926314938,0.928186519,0.708646272,0.949569134,0.887926506,0.964116346,0.939973972,0.819177475,0.934514928,0.735744099
CCDC124,0.459735998,0.417519445,0.467092332,0.354289648,0.514066041,0.398665441,0.421309714,0.417359484,0.425203742,0.397233451,0.364829595
CEACAM21,0.28878759,0.218638017,0.1582583,0.28168547,0.27437512,0.302415831,0.241010703,0.290092358,0.306057712,0.280107346,0.414699707
PAFAH1B1,0.828536435,0.798843019,0.819549687,0.814112662,0.808281822,0.83312557,0.822684042,0.781102305,0.847959874,0.862900845,0.823466863
NOS2,0.243323608,0.262970702,0.181251738,0.16942701,0.424831009,0.135668615,0.177564625,0.190345182,0.198847429,0.203799004,0.148866244
DNAH9,0.239400744,0.170770488,0.272637219,0.139006887,0.422188787,0.086558769,0.201090911,0.285713199,0.117350213,0.122388735,0.303535011
KIAA0100,0.456498695,0.47678264,0.463708234,0.366773523,0.421616113,0.417828062,0.435305945,0.43303556,0.514629575,0.485547728,0.400447731
SLC13A2,0.223122787,0.346236051,0.300262469,0.151994219,0.156392375,0.10639308,0.222541811,0.312774633,0.22525861,0.235673792,0.278055891
GAS7,0.474573706,0.450735496,0.508657819,0.508971104,0.560603285,0.55138202,0.481346767,0.504490889,0.691625486,0.578569545,0.697335728
TRAPPC6A,0.749937169,0.672094496,0.689032117,0.686057342,0.600866757,0.702786654,0.6948688,0.485306867,0.788011539,0.637260272,0.736550768
MATK,0.344772076,0.46992713,0.597446075,0.365331221,0.755982187,0.50690524,0.740800487,0.453992024,0.464758241,0.436467576,0.499660353
CEACAM7,0.032515534,0.033342287,0.023813076,0.065345077,0.028995668,0.224371087,0.060866087,3.59E-05,0.142409547,0.06798838,0.034760534
CD79B,0.375737402,0.508274044,0.576106414,0.439746378,0.307579879,0.442668419,0.473287774,0.501270609,0.472763518,0.504826227,0.393350221
SCN4A,0.042486859,0.010751769,0.044581926,0.059885848,0.03323844,0.126930953,0.140391239,0.061255798,0.016032704,0.03453238,0.010205607
ST7L,0.321886829,0.402030121,0.266774132,0.328458982,0.294470922,0.370190823,0.357598398,0.413903497,0.266953921,0.229612828,0.376768324
TKTL1,0.146621658,0.111998528,0.11917344,0.102634184,0.278629882,0.166542275,0.24406003,0.214226781,0.205373133,0.239943114,0.119686746
PAX6,0.139952719,0.092077017,0.087513332,0.144650232,0.097047408,0.149411071,0.210311299,0.133474361,0.041696049,0.210817964,0.133263328
RPUSD1,0.47107485,0.485935842,0.417608929,0.391615136,0.501610071,0.400243199,0.43276712,0.436540796,0.486430261,0.428177697,0.483438269
RHBDF1,0.80954639,0.815723002,0.757619099,0.78083382,0.895291878,0.764890673,0.82745028,0.858454241,0.793906951,0.800830573,0.664422302
LUC7L,0.454586173,0.600607115,0.530281484,0.474549971,0.558952272,0.508503552,0.523718367,0.566614973,0.659486874,0.572691482,0.491635712
CACNA2D2,0.200574995,0.105797507,0.125468828,0.24042218,0.142108832,0.314380831,0.032634194,0.160708196,0.33675367,0.20907948,0.289657938
BAIAP3,0.104452663,0.232702474,0.177991017,0.273789894,0.010421919,0.221923778,0.225290717,0.103027252,0.132047527,0.243230304,0.10857589
PIGQ,0.687055285,0.693377946,0.644880175,0.666424822,0.645114211,0.691606825,0.706672517,0.569273735,0.720553679,0.6834824,0.589990632
TEAD3,0.403888706,0.50936184,0.459497823,0.488131737,0.471802424,0.506202745,0.577674031,0.622137173,0.492499413,0.469588527,0.479834081
SELE,0.259035657,0.281442583,0.359665653,0.255779413,0.221123955,0.245523059,0.229735071,0.316581068,0.351976495,0.231588074,0.289967716
DNAJC11,0.311294863,0.246212461,0.158730694,0.21706113,0.142108832,0.195442454,0.283383343,0.117142809,0.156482758,0.233608273,0.198016046
FMO3,0.150295695,0.085411572,0.097477845,0.099155393,0.26811656,0.063585921,0.200284817,0.017911861,0.17489909,0.21482902,0.192040551
MYLIP,0.88118218,0.830160042,0.875466166,0.921342427,0.869931243,0.950087907,0.886226454,0.893469031,0.898809225,0.899131441,0.956365957
NOX1,0.08584086,0.125561071,0.05745939,0.096954173,0.18116231,0.159873044,0.11709767,0.148439127,0.076920168,0.165742298,0.157802788
E2F2,0.615929518,0.422049498,0.389300755,0.534736381,0.26811656,0.357717171,0.402111312,0.267298385,0.661968962,0.228257217,0.264469798
PSMB1,0.974251123,0.982280775,0.976617232,0.971147536,0.973020913,0.977798775,0.976874086,0.956533565,0.973768316,0.969288357,0.975191872
SYN1,0.361048344,0.288196073,0.350077019,0.34372105,0.531306852,0.333491892,0.29612768,0.314998831,0.396568444,0.335496243,0.385502304
JARID2,0.589788531,0.587332441,0.600542921,0.624527035,0.667384121,0.636834884,0.653046957,0.733453909,0.707560673,0.498203833,0.683694109
CDKL5,0.134779039,0.078796684,0.109795614,0.100353216,0.063192083,0.088175307,0.007839435,0.15825805,0.040087735,0.108449739,0.099825991
CAMK1G,0.286648768,0.3253561,0.298991817,0.305593067,0.401216972,0.265647999,0.280837216,0.443663381,0.298931389,0.27848765,0.272134818
NADK,0.465835094,0.421368283,0.453878721,0.4281647,0.465598597,0.401770017,0.431330448,0.433264807,0.524182281,0.467083702,0.378022746
TFAP2B,0.022282056,0.205079862,0.256664496,0.108401768,0.157102182,0.154558221,0.132551589,0.110213478,0.058917151,0.064565633,0.05101866
TFAP2D,0.103837968,0.208942703,0.159478837,0.196829156,0.271071088,0.086558769,0.184930729,0.160708196,0.020632705,0.262933931,0.149770424
DLEC1,0.164780901,0.216127639,0.054187439,0.256117315,0.121429189,0.189887438,0.136995108,0.244661907,0.189647185,0.239818496,0.160958777
CYTH3,0.427231739,0.381436257,0.43140462,0.419217851,0.443655022,0.526937549,0.410830606,0.497497685,0.473630634,0.398713777,0.467849714
ADAM22,0.209544439,0.220625764,0.011662521,0.212958986,0.129602032,0.17402145,0.261382623,0.104540989,0.28681211,0.298385097,0.20199694
SYPL1,0.86744756,0.904285817,0.895142262,0.91851349,0.881011837,0.903927793,0.898948124,0.907077098,0.809983557,0.891401731,0.922783422
CYB561,0.741311942,0.835902701,0.781603564,0.747803862,0.653936332,0.606783289,0.770143207,0.626243918,0.715180749,0.745177265,0.64357031
SPAG9,0.653277151,0.75634461,0.723697303,0.670580454,0.771751184,0.649391186,0.760657305,0.761644447,0.674227717,0.722200987,0.59436966
CELSR3,0.328077225,0.256592184,0.126208093,0.270415987,0.280338316,0.216759654,0.362578421,0.313468573,0.431559207,0.157961018,0.240110899
